,Unnamed: 0,Unnamed: 0.1,ID,MR_GOLD,MR_MN,MN,PERM,CYCLES,CAYLEY,N_PERM
21,21,21,21,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
22,22,22,22,"answer size city cityid(city_name, _)","answer size city cityid(city_name, _)",1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
23,23,23,23,answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place loc_2 state(all),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
24,24,24,24,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1,"[1, 2, 3]",(1) (2) (3),0,1
25,25,25,25,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1,"[1, 2, 3]",(1) (2) (3),0,1
26,26,26,26,answer elevation_1 highest place loc_2 countryid(country_name),answer elevation_1 highest place loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
27,27,27,27,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
28,28,28,28,answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place loc_2 largest state(all),1,"[1, 2, 3, 4, 5, 6, 7]",(1) (2) (3) (4) (5) (6) (7),0,1
29,29,29,29,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
30,30,30,30,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
31,31,31,31,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
32,32,32,32,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
33,33,33,33,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
34,34,34,34,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
35,35,35,35,answer size largest city loc_2 stateid(state_name),answer size largest city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
36,36,36,36,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
37,37,37,37,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
38,38,38,38,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
39,39,39,39,answer len longest river loc_2 stateid(state_name),answer len longest river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
40,40,40,40,answer len longest river loc_2 countryid(country_name),answer len longest river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
41,41,41,41,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
42,42,42,42,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
43,43,43,43,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
44,44,44,44,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
45,45,45,45,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
46,46,46,46,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
47,47,47,47,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
48,48,48,48,answer len shortest river loc_2 countryid(country_name),answer len shortest river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
49,49,49,49,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
50,50,50,50,answer count capital loc_2 stateid(state_name),answer count capital stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
51,51,51,51,answer count city loc_2 stateid(state_name),answer count city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
52,52,52,52,answer count city loc_2 stateid(state_name),answer count city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
53,53,53,53,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
54,54,54,54,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
55,55,55,55,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
56,56,56,56,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
57,57,57,57,answer count city loc_2 stateid(state_name),answer count city stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
58,58,58,58,answer count city loc_2 countryid(country_name),answer count city countryid(country_name) loc_2,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
59,59,59,59,"answer count intersection city cityid(city_name, _) loc_2 countryid(country_name)","answer count intersection city cityid(city_name, _) loc_2 countryid(country_name)",1,"[1, 2, 3, 4, 5, 6, 7, 8]",(1) (2) (3) (4) (5) (6) (7) (8),0,1
60,60,60,60,answer population_1 largest city(all),answer population_1 largest city(all),1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
61,61,61,61,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
62,62,62,62,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
63,63,63,63,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
64,64,64,64,answer count river riverid(river_name),answer count riverid(river_name),1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
65,65,65,65,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
66,66,66,66,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
67,67,67,67,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
68,68,68,68,answer count major city loc_2 state next_to_2 stateid(state_name),answer count major city loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]",(1) (2) (3) (4) (5) (6) (7) (8),0,1
69,69,69,69,answer count major city loc_2 state next_to_2 stateid(state_name),answer count major city loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]",(1) (2) (3) (4) (5) (6) (7) (8),0,1
70,70,70,70,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
71,71,71,71,answer count major city(all),answer count major city(all),1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
72,72,72,72,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
73,73,73,73,answer count major river traverse_2 stateid(state_name),answer count major river traverse_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
74,74,74,74,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
75,75,75,75,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
76,76,76,76,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
77,77,77,77,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
78,78,78,78,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
79,79,79,79,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
80,80,80,80,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
81,81,81,81,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
82,82,82,82,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
83,83,83,83,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
84,84,84,84,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
85,85,85,85,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
86,86,86,86,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
87,87,87,87,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
88,88,88,88,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
89,89,89,89,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
90,90,90,90,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
91,91,91,91,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
92,92,92,92,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
93,93,93,93,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
94,94,94,94,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
95,95,95,95,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
96,96,96,96,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
97,97,97,97,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
98,98,98,98,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
99,99,99,99,answer population_1 largest city loc_2 stateid(state_name),answer population_1 largest city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
100,100,100,100,answer population_1 capital loc_2 stateid(state_name),answer population_1 capital loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
101,101,101,101,answer population_1 capital loc_2 stateid(state_name),answer population_1 capital loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
102,102,102,102,answer population_1 smallest state next_to_2 stateid(state_name),answer population_1 smallest state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
103,103,103,103,answer population_1 largest_one density_1 state(all),answer population_1 state(all) largest_one density_1,0,"[1, 2, 5, 3, 4]","(1) (2) (3, 5, 4)",2,35
104,104,104,104,answer population_1 countryid(country_name),answer population_1 countryid(country_name),1,"[1, 2, 3]",(1) (2) (3),0,1
105,105,105,105,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
106,106,106,106,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
107,107,107,107,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]",(1) (2) (3) (4),0,1
108,108,108,108,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
109,109,109,109,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
110,110,110,110,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
111,111,111,111,answer count riverid(river_name),answer count riverid(river_name),1,"[1, 2, 3]",(1) (2) (3),0,1
112,112,112,112,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
113,113,113,113,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
114,114,114,114,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
115,115,115,115,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
116,116,116,116,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
117,117,117,117,answer count river loc_2 most state loc_1 river(all),answer count river loc_2 state loc_1 most river(all),0,"[1, 2, 3, 4, 6, 7, 5, 8]","(1) (2) (3) (4) (5, 6, 7) (8)",2,322
118,118,118,118,answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 state loc_1 highest place(all),1,"[1, 2, 3, 4, 5, 6, 7, 8]",(1) (2) (3) (4) (5) (6) (7) (8),0,1
119,119,119,119,answer count river loc_2 largest_one population_1 state(all),answer count river loc_2 state(all) largest_one population_1,0,"[1, 2, 3, 4, 7, 5, 6]","(1) (2) (3) (4) (5, 7, 6)",2,175
120,120,120,120,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
121,121,121,121,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
122,122,122,122,answer count river loc_2 countryid(country_name),answer count river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
123,123,123,123,"answer count exclude river(all) traverse_2 state loc_1 capital cityid(city_name, _)","answer count river(all) exclude traverse_2 state loc_1 capital cityid(city_name, _)",0,"[1, 2, 4, 3, 5, 6, 7, 8, 9, 10]","(1) (2) (3, 4) (5) (6) (7) (8) (9) (10)",1,45
124,124,124,124,answer count river loc_2 stateid(state_name),answer count river stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
125,125,125,125,answer count river loc_2 stateid(state_name),answer count river stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
126,126,126,126,answer count intersection river loc_2 stateid(state_name) longer riverid(river_name),answer count intersection river loc_2 stateid(state_name) longer riverid(river_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]",(1) (2) (3) (4) (5) (6) (7) (8),0,1
127,127,127,127,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
128,128,128,128,answer count river traverse_2 stateid(state_name),answer count river traverse_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
129,129,129,129,answer count river traverse_2 state next_to_2 stateid(state_name),answer count river traverse_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7]",(1) (2) (3) (4) (5) (6) (7),0,1
130,130,130,130,answer area_1 countryid(country_name),answer area_1 countryid(country_name),1,"[1, 2, 3]",(1) (2) (3),0,1
131,131,131,131,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
132,132,132,132,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
133,133,133,133,answer count state next_to_2 major river(all),answer count state next_to_2 major river(all),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
134,134,134,134,answer count state(all),answer count state(all),1,"[1, 2, 3]",(1) (2) (3),0,1
135,135,135,135,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
136,136,136,136,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
137,137,137,137,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
138,138,138,138,answer count state next_to_2 state(all),answer count state next_to_2 state(all),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
139,139,139,139,answer count state intersection next_to_2 stateid(state_name) next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name) intersection next_to_2 stateid(state_name),0,"[1, 2, 3, 5, 6, 4, 7, 8]","(1) (2) (3) (4, 5, 6) (7) (8)",2,322
140,140,140,140,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
141,141,141,141,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
142,142,142,142,"answer count state next_to_2 state loc_1 capital cityid(city_name, _)","answer count state next_to_2 state loc_1 capital cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",(1) (2) (3) (4) (5) (6) (7) (8) (9),0,1
143,143,143,143,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
144,144,144,144,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
145,145,145,145,answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
146,146,146,146,answer count state next_to_2 riverid(river_name),answer count state next_to_2 riverid(river_name),1,"[1, 2, 3, 4, 5]",(1) (2) (3) (4) (5),0,1
147,147,147,147,answer count state next_to_2 most state next_to_2 state(all),answer count state next_to_2 state next_to_2 most state(all),0,"[1, 2, 3, 4, 6, 7, 5, 8]","(1) (2) (3) (4) (5, 6, 7) (8)",2,322
148,148,148,148,answer count state next_to_2 largest_one population_1 state(all),answer count state next_to_2 state(all) largest_one population_1,0,"[1, 2, 3, 4, 7, 5, 6]","(1) (2) (3) (4) (5, 7, 6)",2,175
149,149,149,149,answer count exclude state(all) loc_1 river(all),answer count state(all) exclude loc_1 river(all),0,"[1, 2, 4, 3, 5, 6]","(1) (2) (3, 4) (5) (6)",1,15
150,150,150,150,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
151,151,151,151,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
152,152,152,152,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
153,153,153,153,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
154,154,154,154,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
155,155,155,155,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
156,156,156,156,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
157,157,157,157,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
158,158,158,158,answer count state loc_2 countryid(country_name),answer count state countryid(country_name) loc_2,0,"[1, 2, 3, 5, 4]","(1) (2) (3) (4, 5)",1,10
159,159,159,159,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]",(1) (2) (3) (4) (5) (6) (7),0,1
160,160,160,160,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]",(1) (2) (3) (4) (5) (6) (7),0,1
161,161,161,161,answer count state loc_1 place higher_2 highest place loc_2 state loc_1 largest capital city loc_2 countryid(country_name),answer count state loc_1 higher_2 place highest loc_1 place loc_2 state largest capital city loc_2 countryid(country_name),0,"[1, 2, 3, 4, 6, 5, 7, 11, 8, 9, 10, 12, 13, 14, 15, 16]","(1) (2) (3) (4) (5, 6) (7) (8, 11, 10, 9) (12) (13) (14) (15) (16)",4,4899622
162,162,162,162,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]",(1) (2) (3) (4) (5) (6) (7),0,1
163,163,163,163,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]",(1) (2) (3) (4) (5) (6) (7),0,1
164,164,164,164,answer count state loc_1 major river(all),answer count state loc_1 major river(all),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
165,165,165,165,answer count intersection state loc_2 countryid(country_name) traverse_1 shortest river(all),answer count intersection state loc_2 countryid(country_name) shortest river(all) traverse_1,0,"[1, 2, 3, 4, 5, 6, 8, 9, 7]","(1) (2) (3) (4) (5) (6) (7, 8, 9)",2,546
166,166,166,166,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]",(1) (2) (3),0,1
167,167,167,167,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1,"[1, 2, 3]",(1) (2) (3),0,1
168,168,168,168,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]",(1) (2) (3) (4) (5) (6),0,1
169,169,169,169,answer state loc_1 placeid(place_name),loc_1 answer state placeid(place_name),0,"[3, 1, 2, 4]","(1, 3, 2) (4)",2,11
170,170,170,170,answer state loc_1 highest place loc_2 countryid(country_name),loc_1 answer state highest place loc_2 countryid(country_name),0,"[3, 1, 2, 4, 5, 6, 7]","(1, 3, 2) (4) (5) (6) (7)",2,175
171,171,171,171,"answer state loc_1 cityid(city_name, _)","loc_1 answer state cityid(city_name, _)",0,"[3, 1, 2, 4, 5]","(1, 3, 2) (4) (5)",2,35
