ID,MR_GOLD,MR_MN,MN
113,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
114,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
115,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
116,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
117,answer count river loc_2 most state loc_1 river(all),answer count river loc_2 state loc_1 most river(all),0
118,answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 state loc_1 highest place(all),1
119,answer count river loc_2 largest_one population_1 state(all),answer count river loc_2 state(all) largest_one population_1,0
120,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
121,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
122,answer count river loc_2 countryid(country_name),answer count river loc_2 countryid(country_name),1
123,"answer count exclude river(all) traverse_2 state loc_1 capital cityid(city_name, _)","answer count river(all) exclude traverse_2 state loc_1 capital cityid(city_name, _)",0
124,answer count river loc_2 stateid(state_name),answer count river stateid(state_name) loc_2,0
125,answer count river loc_2 stateid(state_name),answer count river stateid(state_name) loc_2,0
126,answer count intersection river loc_2 stateid(state_name) longer riverid(river_name),answer count intersection river loc_2 stateid(state_name) longer riverid(river_name),1
127,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
128,answer count river traverse_2 stateid(state_name),answer count river traverse_2 stateid(state_name),1
129,answer count river traverse_2 state next_to_2 stateid(state_name),answer count river traverse_2 state next_to_2 stateid(state_name),1
130,answer area_1 countryid(country_name),answer area_1 countryid(country_name),1
131,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1
132,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1
133,answer count state next_to_2 major river(all),answer count state next_to_2 major river(all),1
134,answer count state(all),answer count state(all),1
135,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1
136,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1
137,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1
138,answer count state next_to_2 state(all),answer count state next_to_2 state(all),1
139,answer count state intersection next_to_2 stateid(state_name) next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name) intersection next_to_2 stateid(state_name),0
140,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1
141,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1
142,"answer count state next_to_2 state loc_1 capital cityid(city_name, _)","answer count state next_to_2 state loc_1 capital cityid(city_name, _)",1
143,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1
144,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1
145,answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),1
146,answer count state next_to_2 riverid(river_name),answer count state next_to_2 riverid(river_name),1
147,answer count state next_to_2 most state next_to_2 state(all),answer count state next_to_2 state next_to_2 most state(all),0
148,answer count state next_to_2 largest_one population_1 state(all),answer count state next_to_2 state(all) largest_one population_1,0
149,answer count exclude state(all) loc_1 river(all),answer count state(all) exclude loc_1 river(all),0
150,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0
151,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0
152,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0
153,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0
154,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0
155,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0
156,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0
157,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0
158,answer count state loc_2 countryid(country_name),answer count state countryid(country_name) loc_2,0
159,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1
160,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1
161,answer count state loc_1 place higher_2 highest place loc_2 state loc_1 largest capital city loc_2 countryid(country_name),answer count state loc_1 higher_2 place highest loc_1 place loc_2 state largest capital city loc_2 countryid(country_name),0
162,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1
163,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1
164,answer count state loc_1 major river(all),answer count state loc_1 major river(all),1
165,answer count intersection state loc_2 countryid(country_name) traverse_1 shortest river(all),answer count intersection state loc_2 countryid(country_name) shortest river(all) traverse_1,0
166,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
167,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1
168,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1
169,answer state loc_1 placeid(place_name),loc_1 answer state placeid(place_name),0
170,answer state loc_1 highest place loc_2 countryid(country_name),loc_1 answer state highest place loc_2 countryid(country_name),0
171,"answer state loc_1 cityid(city_name, _)","loc_1 answer state cityid(city_name, _)",0
172,answer count state next_to_1 stateid(state_name),stateid(state_name) next_to_1 answer count state,0
173,answer state(all),answer state(all),1
174,answer lake loc_2 countryid(country_name),answer lake loc_2 countryid(country_name),1
175,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
176,answer capital loc_2 countryid(country_name),answer capital loc_2 countryid(country_name),1
177,answer longest river loc_2 countryid(country_name),answer longest river loc_2 countryid(country_name),1
178,answer major lake loc_2 stateid(state_name),answer major lake loc_2 stateid(state_name),1
179,answer major river loc_2 stateid(state_name),answer major river loc_2 stateid(state_name),1
180,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
181,answer exclude state(all) next_to_2 state(all),answer state(all) exclude next_to_2 state(all),0
182,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
183,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
184,answer count state next_to_2 stateid(state_name),answer count next_to_2 stateid(state_name),1
185,answer state loc_1 lowest place loc_2 state traverse_1 riverid(river_name),state traverse_1 loc_2 riverid(river_name) answer state loc_1 lowest place,0
186,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
187,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
188,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
189,"answer state loc_1 capital cityid(city_name, _)","cityid(city_name, _) capital loc_1 answer state",0
190,"answer state loc_1 cityid(city_name, _)","cityid(city_name, _) loc_1 answer state",0
191,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
192,answer major lake loc_2 countryid(country_name),answer major lake loc_2 countryid(country_name),1
193,answer largest_one area_1 state(all),answer state(all) largest_one area_1,0
194,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
195,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
196,answer state traverse_1 longest river loc_2 stateid(state_name),traverse_1 answer state longest river loc_2 stateid(state_name),0
197,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
198,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
199,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
200,answer major river loc_2 stateid(state_name),answer major river loc_2 stateid(state_name),1
201,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
202,answer capital city loc_2 state next_to_2 stateid(state_name),answer capital city loc_2 state next_to_2 stateid(state_name),1
203,answer capital city loc_2 stateid(state_name),answer capital city loc_2 stateid(state_name),1
204,answer capital loc_2 state next_to_2 stateid(state_name),answer capital loc_2 state next_to_2 stateid(state_name),1
205,answer capital loc_2 state next_to_2 stateid(state_name),answer capital loc_2 state next_to_2 stateid(state_name),1
206,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
207,answer city loc_2 state traverse_1 riverid(river_name),answer city loc_2 state traverse_1 riverid(river_name),1
208,answer city loc_2 state loc_1 highest place(all),answer city loc_2 state loc_1 highest place(all),1
209,answer highest place loc_2 state(all),answer highest place loc_2 state(all),1
210,answer highest place loc_2 state next_to_2 stateid(state_name),answer highest place loc_2 state next_to_2 stateid(state_name),1
211,answer lake loc_2 state next_to_2 stateid(state_name),answer lake loc_2 state next_to_2 stateid(state_name),1
212,answer largest city loc_2 state next_to_2 largest state(all),answer largest city loc_2 state next_to_2 largest state(all),1
213,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
214,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
215,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
216,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
217,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
218,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
219,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
220,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
221,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
222,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
223,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
224,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
225,answer major city loc_2 state traverse_1 riverid(river_name),answer major city loc_2 state traverse_1 riverid(river_name),1
226,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
227,answer major city loc_2 largest state(all),answer major city loc_2 largest state(all),1
228,answer major city loc_2 smallest state loc_2 countryid(country_name),answer major city loc_2 smallest state loc_2 countryid(country_name),1
229,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
230,answer major city loc_2 state traverse_1 major river loc_2 stateid(state_name),answer major city loc_2 state traverse_1 major river loc_2 stateid(state_name),1
231,answer major city loc_2 countryid(country_name),answer major city loc_2 countryid(country_name),1
232,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
233,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
234,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
235,answer major city loc_2 countryid(country_name),answer major city loc_2 countryid(country_name),1
236,answer major city loc_2 countryid(country_name),answer major city loc_2 countryid(country_name),1
237,answer major lake loc_2 countryid(country_name),answer major lake loc_2 countryid(country_name),1
238,answer major river loc_2 stateid(state_name),answer major river loc_2 stateid(state_name),1
239,answer major river loc_2 countryid(country_name),answer major river loc_2 countryid(country_name),1
240,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
241,answer state next_to_2 stateid(state_name),answer next_to_2 state stateid(state_name),0
242,answer density_1 state(all),answer density_1 state(all),1
243,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
244,answer population_1 major city loc_2 stateid(state_name),answer population_1 major city loc_2 stateid(state_name),1
245,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
246,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
247,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
248,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
249,answer population_1 state next_to_2 stateid(state_name),answer population_1 state next_to_2 stateid(state_name),1
250,answer population_1 major city loc_2 stateid(state_name),answer population_1 major city loc_2 stateid(state_name),1
251,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
252,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
253,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
254,answer population_1 state traverse_1 riverid(river_name),answer population_1 state traverse_1 riverid(river_name),1
255,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
256,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
257,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
258,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
259,answer state(all),answer state(all),1
260,answer state next_to_2 largest_one population_1 state(all),answer state next_to_2 state(all) largest_one population_1,0
261,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
262,answer state traverse_1 longest river(all),answer state traverse_1 longest river(all),1
263,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
264,answer largest_one population_1 capital(all),answer capital(all) largest_one population_1,0
265,answer largest capital loc_2 countryid(country_name),answer capital largest loc_2 countryid(country_name),0
266,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
267,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
268,answer largest_one population_1 city loc_2 stateid(state_name),answer city loc_2 stateid(state_name) largest_one population_1,0
269,answer largest_one population_1 city loc_2 stateid(state_name),answer city loc_2 stateid(state_name) largest_one population_1,0
270,answer largest_one population_1 city(all),answer city(all) largest_one population_1,0
271,answer smallest_one population_1 city(all),answer city(all) smallest_one population_1,0
272,answer largest_one population_1 city(all),answer city(all) largest_one population_1,0
273,answer largest_one density_1 city loc_2 countryid(country_name),answer city loc_2 countryid(country_name) largest_one density_1,0
274,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
275,answer capital loc_2 state loc_1 lowest place(all),answer capital loc_2 state loc_1 lowest place(all),1
276,answer largest capital(all),answer largest capital(all),1
277,answer state next_to_2 stateid(state_name),answer next_to_2 state stateid(state_name),0
278,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
279,answer sum area_1 state(all),answer area_1 state(all) sum,0
280,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
281,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
282,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
283,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
284,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
285,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
286,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
287,"answer area_1 cityid(city_name, _)","answer area_1 cityid(city_name, _)",1
288,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
289,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
290,answer area_1 largest state(all),answer area_1 largest state(all),1
291,answer area_1 smallest state(all),answer area_1 smallest state(all),1
292,"answer area_1 state loc_1 capital cityid(city_name, _)","answer area_1 state loc_1 capital cityid(city_name, _)",1
293,answer area_1 smallest_one density_1 state(all),answer area_1 state(all) smallest_one density_1,0
294,answer area_1 state(all),answer area_1 state(all),1
295,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
296,answer area_1 stateid(state_name),answer area_1 stateid(state_name),1
297,answer density_1 countryid(country_name),answer density_1 countryid(country_name),1
298,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
299,answer density_1 countryid(country_name),answer density_1 countryid(country_name),1
300,answer largest city loc_2 state loc_1 river(all),answer largest city loc_2 state loc_1 river(all),1
301,answer largest capital city loc_2 countryid(country_name),answer largest capital city loc_2 countryid(country_name),1
302,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
303,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
304,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
305,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
306,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
307,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
308,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
309,answer largest city loc_2 smallest state(all),answer largest city loc_2 smallest state(all),1
310,answer largest city loc_2 countryid(country_name),answer largest city loc_2 countryid(country_name),1
311,answer largest city loc_2 countryid(country_name),answer largest city loc_2 countryid(country_name),1
312,answer largest city loc_2 countryid(country_name),answer largest city loc_2 countryid(country_name),1
313,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
314,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
315,answer largest state(all),answer largest state(all),1
316,answer largest state loc_2 countryid(country_name),answer largest state loc_2 countryid(country_name),1
317,answer largest state loc_2 countryid(country_name),answer largest state loc_2 countryid(country_name),1
318,answer capital city loc_2 largest state loc_2 countryid(country_name),answer capital city loc_2 largest state loc_2 countryid(country_name),1
319,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
320,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
321,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
322,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
323,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
324,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
325,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
326,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
327,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
328,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
329,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
330,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
331,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
332,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
333,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
334,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
335,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
336,"answer capital loc_2 state loc_1 city cityid(city_name, _)","answer capital loc_2 state loc_1 city cityid(city_name, _)",1
337,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
338,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
339,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
340,answer capital loc_2 largest state(all),answer capital loc_2 largest state(all),1
341,answer capital loc_2 smallest state(all),answer capital loc_2 smallest state(all),1
342,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
343,answer capital loc_2 most state next_to_2 state(all),answer capital loc_2 state next_to_2 most state(all),0
344,answer capital loc_2 state next_to_2 state next_to_2 stateid(state_name),answer capital loc_2 state next_to_2 state next_to_2 stateid(state_name),1
345,answer capital loc_2 state loc_1 highest place(all),answer capital loc_2 state loc_1 highest place(all),1
346,answer capital loc_2 state loc_1 highest place(all),answer capital loc_2 state loc_1 highest place(all),1
347,answer capital loc_2 largest_one population_1 state(all),answer capital loc_2 state(all) largest_one population_1,0
348,answer capital loc_2 largest_one density_1 state(all),answer capital loc_2 state(all) largest_one density_1,0
349,answer capital loc_2 state loc_1 longest river(all),answer capital loc_2 state loc_1 longest river(all),1
350,answer capital loc_2 largest_one population_1 state(all),answer capital loc_2 state(all) largest_one population_1,0
351,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
352,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
353,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
