,ID,MR_GOLD,MR_MN,MN,PERM
19,19,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
20,20,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
21,21,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
22,22,"answer size city cityid(city_name, _)","answer size city cityid(city_name, _)",1,"[1, 2, 3, 4, 5]"
23,23,answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place loc_2 state(all),1,"[1, 2, 3, 4, 5, 6]"
24,24,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1,"[1, 2, 3]"
25,25,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1,"[1, 2, 3]"
26,26,answer elevation_1 highest place loc_2 countryid(country_name),answer elevation_1 highest place loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6]"
27,27,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
28,28,answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place loc_2 largest state(all),1,"[1, 2, 3, 4, 5, 6, 7]"
29,29,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
30,30,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
31,31,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
32,32,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
33,33,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
34,34,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
35,35,answer size largest city loc_2 stateid(state_name),answer size largest city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
36,36,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
37,37,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
38,38,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
39,39,answer len longest river loc_2 stateid(state_name),answer len longest river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
40,40,answer len longest river loc_2 countryid(country_name),answer len longest river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6]"
41,41,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
42,42,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
43,43,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
44,44,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
45,45,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
46,46,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
47,47,answer len riverid(river_name),answer len riverid(river_name),1,"[1, 2, 3]"
48,48,answer len shortest river loc_2 countryid(country_name),answer len shortest river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6]"
49,49,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
50,50,answer count capital loc_2 stateid(state_name),answer count capital stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]"
51,51,answer count city loc_2 stateid(state_name),answer count city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
52,52,answer count city loc_2 stateid(state_name),answer count city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
53,53,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
54,54,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
55,55,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
56,56,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
57,57,answer count city loc_2 stateid(state_name),answer count city stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]"
58,58,answer count city loc_2 countryid(country_name),answer count city countryid(country_name) loc_2,0,"[1, 2, 3, 5, 4]"
59,59,"answer count intersection city cityid(city_name, _) loc_2 countryid(country_name)","answer count intersection city cityid(city_name, _) loc_2 countryid(country_name)",1,"[1, 2, 3, 4, 5, 6, 7, 8]"
60,60,answer population_1 largest city(all),answer population_1 largest city(all),1,"[1, 2, 3, 4]"
61,61,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
62,62,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
63,63,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
64,64,answer count river riverid(river_name),answer count riverid(river_name),1,"[1, 2, 3, 4]"
65,65,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
66,66,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
67,67,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
68,68,answer count major city loc_2 state next_to_2 stateid(state_name),answer count major city loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]"
69,69,answer count major city loc_2 state next_to_2 stateid(state_name),answer count major city loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]"
70,70,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
71,71,answer count major city(all),answer count major city(all),1,"[1, 2, 3, 4]"
72,72,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
73,73,answer count major river traverse_2 stateid(state_name),answer count major river traverse_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
74,74,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
75,75,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
76,76,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
77,77,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
78,78,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
79,79,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]"
80,80,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
81,81,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
82,82,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
83,83,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
84,84,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
85,85,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
86,86,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
87,87,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]"
88,88,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
89,89,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
90,90,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
91,91,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
92,92,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
93,93,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
94,94,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
95,95,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
96,96,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
97,97,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]"
98,98,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
99,99,answer population_1 largest city loc_2 stateid(state_name),answer population_1 largest city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
100,100,answer population_1 capital loc_2 stateid(state_name),answer population_1 capital loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
101,101,answer population_1 capital loc_2 stateid(state_name),answer population_1 capital loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
102,102,answer population_1 smallest state next_to_2 stateid(state_name),answer population_1 smallest state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
103,103,answer population_1 largest_one density_1 state(all),answer population_1 state(all) largest_one density_1,0,"[1, 2, 5, 3, 4]"
104,104,answer population_1 countryid(country_name),answer population_1 countryid(country_name),1,"[1, 2, 3]"
105,105,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
106,106,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1,"[1, 2, 3, 4]"
107,107,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
108,108,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
109,109,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
110,110,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
111,111,answer count riverid(river_name),answer count riverid(river_name),1,"[1, 2, 3]"
112,112,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
113,113,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
114,114,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
115,115,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
116,116,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
117,117,answer count river loc_2 most state loc_1 river(all),answer count river loc_2 state loc_1 most river(all),0,"[1, 2, 3, 4, 6, 7, 5, 8]"
118,118,answer count river loc_2 state loc_1 highest place(all),answer count river loc_2 state loc_1 highest place(all),1,"[1, 2, 3, 4, 5, 6, 7, 8]"
119,119,answer count river loc_2 largest_one population_1 state(all),answer count river loc_2 state(all) largest_one population_1,0,"[1, 2, 3, 4, 7, 5, 6]"
120,120,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
121,121,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
122,122,answer count river loc_2 countryid(country_name),answer count river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
123,123,"answer count exclude river(all) traverse_2 state loc_1 capital cityid(city_name, _)","answer count river(all) exclude traverse_2 state loc_1 capital cityid(city_name, _)",0,"[1, 2, 4, 3, 5, 6, 7, 8, 9, 10]"
124,124,answer count river loc_2 stateid(state_name),answer count river stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]"
125,125,answer count river loc_2 stateid(state_name),answer count river stateid(state_name) loc_2,0,"[1, 2, 3, 5, 4]"
126,126,answer count intersection river loc_2 stateid(state_name) longer riverid(river_name),answer count intersection river loc_2 stateid(state_name) longer riverid(river_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]"
127,127,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
128,128,answer count river traverse_2 stateid(state_name),answer count river traverse_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
129,129,answer count river traverse_2 state next_to_2 stateid(state_name),answer count river traverse_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7]"
130,130,answer area_1 countryid(country_name),answer area_1 countryid(country_name),1,"[1, 2, 3]"
131,131,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
132,132,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
133,133,answer count state next_to_2 major river(all),answer count state next_to_2 major river(all),1,"[1, 2, 3, 4, 5, 6]"
134,134,answer count state(all),answer count state(all),1,"[1, 2, 3]"
135,135,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
136,136,answer count state loc_2 countryid(country_name),answer count state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
137,137,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
138,138,answer count state next_to_2 state(all),answer count state next_to_2 state(all),1,"[1, 2, 3, 4, 5]"
139,139,answer count state intersection next_to_2 stateid(state_name) next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name) intersection next_to_2 stateid(state_name),0,"[1, 2, 3, 5, 6, 4, 7, 8]"
140,140,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
141,141,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
142,142,"answer count state next_to_2 state loc_1 capital cityid(city_name, _)","answer count state next_to_2 state loc_1 capital cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
143,143,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
144,144,answer count state next_to_2 stateid(state_name),answer count state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
145,145,answer count state next_to_2 largest state(all),answer count state next_to_2 largest state(all),1,"[1, 2, 3, 4, 5, 6]"
146,146,answer count state next_to_2 riverid(river_name),answer count state next_to_2 riverid(river_name),1,"[1, 2, 3, 4, 5]"
147,147,answer count state next_to_2 most state next_to_2 state(all),answer count state next_to_2 state next_to_2 most state(all),0,"[1, 2, 3, 4, 6, 7, 5, 8]"
148,148,answer count state next_to_2 largest_one population_1 state(all),answer count state next_to_2 state(all) largest_one population_1,0,"[1, 2, 3, 4, 7, 5, 6]"
149,149,answer count exclude state(all) loc_1 river(all),answer count state(all) exclude loc_1 river(all),0,"[1, 2, 4, 3, 5, 6]"
150,150,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0,"[1, 2, 3, 5, 4]"
151,151,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0,"[1, 2, 3, 5, 4]"
152,152,answer count state next_to_1 stateid(state_name),answer count state stateid(state_name) next_to_1,0,"[1, 2, 3, 5, 4]"
153,153,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]"
154,154,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]"
155,155,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]"
156,156,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]"
157,157,answer count state traverse_1 riverid(river_name),answer count state riverid(river_name) traverse_1,0,"[1, 2, 3, 5, 4]"
158,158,answer count state loc_2 countryid(country_name),answer count state countryid(country_name) loc_2,0,"[1, 2, 3, 5, 4]"
159,159,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]"
160,160,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]"
161,161,answer count state loc_1 place higher_2 highest place loc_2 state loc_1 largest capital city loc_2 countryid(country_name),answer count state loc_1 higher_2 place highest loc_1 place loc_2 state largest capital city loc_2 countryid(country_name),0,"[1, 2, 3, 4, 6, 5, 7, 11, 8, 9, 10, 12, 13, 14, 15, 16]"
162,162,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]"
163,163,"answer count state loc_1 city cityid(city_name, _)","answer count state loc_1 city cityid(city_name, _)",1,"[1, 2, 3, 4, 5, 6, 7]"
164,164,answer count state loc_1 major river(all),answer count state loc_1 major river(all),1,"[1, 2, 3, 4, 5, 6]"
165,165,answer count intersection state loc_2 countryid(country_name) traverse_1 shortest river(all),answer count intersection state loc_2 countryid(country_name) shortest river(all) traverse_1,0,"[1, 2, 3, 4, 5, 6, 8, 9, 7]"
166,166,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1,"[1, 2, 3]"
167,167,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1,"[1, 2, 3]"
168,168,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
169,169,answer state loc_1 placeid(place_name),loc_1 answer state placeid(place_name),0,"[3, 1, 2, 4]"
170,170,answer state loc_1 highest place loc_2 countryid(country_name),loc_1 answer state highest place loc_2 countryid(country_name),0,"[3, 1, 2, 4, 5, 6, 7]"
171,171,"answer state loc_1 cityid(city_name, _)","loc_1 answer state cityid(city_name, _)",0,"[3, 1, 2, 4, 5]"
172,172,answer count state next_to_1 stateid(state_name),stateid(state_name) next_to_1 answer count state,0,"[5, 4, 1, 2, 3]"
173,173,answer state(all),answer state(all),1,"[1, 2]"
174,174,answer lake loc_2 countryid(country_name),answer lake loc_2 countryid(country_name),1,"[1, 2, 3, 4]"
175,175,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
176,176,answer capital loc_2 countryid(country_name),answer capital loc_2 countryid(country_name),1,"[1, 2, 3, 4]"
177,177,answer longest river loc_2 countryid(country_name),answer longest river loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
178,178,answer major lake loc_2 stateid(state_name),answer major lake loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
179,179,answer major river loc_2 stateid(state_name),answer major river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
180,180,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
181,181,answer exclude state(all) next_to_2 state(all),answer state(all) exclude next_to_2 state(all),0,"[1, 3, 2, 4, 5]"
182,182,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
183,183,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
184,184,answer count state next_to_2 stateid(state_name),answer count next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
185,185,answer state loc_1 lowest place loc_2 state traverse_1 riverid(river_name),state traverse_1 loc_2 riverid(river_name) answer state loc_1 lowest place,0,"[2, 8, 6, 9, 1, 7, 3, 4, 5]"
186,186,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
187,187,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1,"[1, 2, 3, 4]"
188,188,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
189,189,"answer state loc_1 capital cityid(city_name, _)","cityid(city_name, _) capital loc_1 answer state",0,"[5, 6, 4, 3, 1, 2]"
190,190,"answer state loc_1 cityid(city_name, _)","cityid(city_name, _) loc_1 answer state",0,"[4, 5, 3, 1, 2]"
191,191,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
192,192,answer major lake loc_2 countryid(country_name),answer major lake loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
193,193,answer largest_one area_1 state(all),answer state(all) largest_one area_1,0,"[1, 4, 2, 3]"
194,194,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1,"[1, 2, 3, 4]"
195,195,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
196,196,answer state traverse_1 longest river loc_2 stateid(state_name),traverse_1 answer state longest river loc_2 stateid(state_name),0,"[3, 1, 2, 4, 5, 6, 7]"
197,197,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0,"[1, 2, 4, 3]"
198,198,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0,"[1, 2, 4, 3]"
199,199,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
200,200,answer major river loc_2 stateid(state_name),answer major river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
201,201,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
202,202,answer capital city loc_2 state next_to_2 stateid(state_name),answer capital city loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7]"
203,203,answer capital city loc_2 stateid(state_name),answer capital city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
204,204,answer capital loc_2 state next_to_2 stateid(state_name),answer capital loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
205,205,answer capital loc_2 state next_to_2 stateid(state_name),answer capital loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
206,206,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
207,207,answer city loc_2 state traverse_1 riverid(river_name),answer city loc_2 state traverse_1 riverid(river_name),1,"[1, 2, 3, 4, 5, 6]"
208,208,answer city loc_2 state loc_1 highest place(all),answer city loc_2 state loc_1 highest place(all),1,"[1, 2, 3, 4, 5, 6, 7]"
209,209,answer highest place loc_2 state(all),answer highest place loc_2 state(all),1,"[1, 2, 3, 4, 5]"
210,210,answer highest place loc_2 state next_to_2 stateid(state_name),answer highest place loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7]"
211,211,answer lake loc_2 state next_to_2 stateid(state_name),answer lake loc_2 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6]"
212,212,answer largest city loc_2 state next_to_2 largest state(all),answer largest city loc_2 state next_to_2 largest state(all),1,"[1, 2, 3, 4, 5, 6, 7, 8]"
213,213,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
214,214,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
215,215,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
216,216,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
217,217,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
218,218,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
219,219,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
220,220,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
221,221,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
222,222,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
223,223,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
224,224,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
225,225,answer major city loc_2 state traverse_1 riverid(river_name),answer major city loc_2 state traverse_1 riverid(river_name),1,"[1, 2, 3, 4, 5, 6, 7]"
226,226,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
227,227,answer major city loc_2 largest state(all),answer major city loc_2 largest state(all),1,"[1, 2, 3, 4, 5, 6]"
228,228,answer major city loc_2 smallest state loc_2 countryid(country_name),answer major city loc_2 smallest state loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5, 6, 7, 8]"
229,229,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
230,230,answer major city loc_2 state traverse_1 major river loc_2 stateid(state_name),answer major city loc_2 state traverse_1 major river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
231,231,answer major city loc_2 countryid(country_name),answer major city loc_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
232,232,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
233,233,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
