,split,NL,MR,ALIGNMENT
12,train,are there any nonstop flights leaving from denver arriving in baltimore on july seventh,( _lambda $0 e ( _and ( _month_arrival $0 july:_mn ) ( _to $0 baltimore:_ci ) ( _from $0 denver:_ci ) ( _flight $0 ) ( _day_number_arrival $0 7:_dn ) ( _nonstop $0 ) ) ),"[['are', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['there', 'NULL'], ['NULL', '$0'], ['any', 'NULL'], ['NULL', '_to'], ['NULL', '$0'], ['nonstop', '_nonstop'], ['flights', '_flight'], ['NULL', '$0'], ['leaving', 'NULL'], ['from', '_from'], ['NULL', '$0'], ['denver', 'denver:_ci'], ['NULL', '$0'], ['arriving', '_month_arrival'], ['in', '_day_number_arrival'], ['NULL', '$0'], ['baltimore', 'baltimore:_ci'], ['on', 'NULL'], ['july', 'july:_mn'], ['seventh', '7:_dn']]"
13,train,how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta,( _lambda $0 e ( _lambda $1 e ( _and ( _equals $0 ( _argmin $2 ( _and ( _flight $2 ) ( _from $0 boston:_ci ) ( _to $0 atlanta:_ci ) ) ( _arrival_time $2 ) ) ) ( _equals $1 ( _argmax $2 ( _and ( _flight $2 ) ( _to $0 boston:_ci ) ( _from $0 atlanta:_ci ) ) ( _departure_time $2 ) ) ) ) ) ),"[['how', '_lambda'], ['can', '_lambda'], ['NULL', 'e'], ['i', '_argmin'], ['NULL', '$1'], ['NULL', 'e'], ['NULL', '_and'], ['NULL', '_equals'], ['NULL', '$0'], ['get', 'NULL'], ['NULL', '$2'], ['NULL', '_and'], ['NULL', '_flight'], ['NULL', '$2'], ['from', '_from'], ['NULL', '$0'], ['boston', 'boston:_ci'], ['to', '_to'], ['NULL', '$0'], ['atlanta', 'atlanta:_ci'], ['and', '_equals'], ['NULL', '$2'], ['back', '$2'], ['in', '_arrival_time'], ['NULL', '_argmax'], ['NULL', '$2'], ['NULL', '_and'], ['NULL', '_flight'], ['the', 'NULL'], ['same', 'NULL'], ['NULL', '$0'], ['NULL', 'boston:_ci'], ['NULL', '_from'], ['NULL', '$0'], ['day', 'NULL'], ['NULL', '_departure_time'], ['NULL', '$2'], ['and', '_to'], ['have', 'NULL'], ['the', 'NULL'], ['most', 'NULL'], ['hours', 'NULL'], ['on', 'NULL'], ['the', 'NULL'], ['ground', 'NULL'], ['in', 'NULL'], ['atlanta', 'atlanta:_ci']]"
14,train,are there any flights between pittsburgh and baltimore using a j31 aircraft,( _lambda $0 e ( _and ( _flight $0 ) ( _aircraft_code $0 j31:_ac ) ( _from $0 pittsburgh:_ci ) ( _to $0 baltimore:_ci ) ) ),"[['NULL', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['are', 'NULL'], ['NULL', '$0'], ['there', 'j31:_ac'], ['NULL', '$0'], ['any', 'NULL'], ['flights', '_flight'], ['NULL', '$0'], ['between', '_from'], ['pittsburgh', 'pittsburgh:_ci'], ['NULL', '$0'], ['and', '_to'], ['baltimore', 'baltimore:_ci'], ['using', 'NULL'], ['a', 'NULL'], ['j31', 'NULL'], ['aircraft', '_aircraft_code']]"
15,train,what does d/s stand for for meals,d_s:_rc,"[['what', 'd_s:_rc'], ['does', 'NULL'], ['d/s', 'NULL'], ['stand', 'NULL'], ['for', 'NULL'], ['for', 'NULL'], ['meals', 'NULL']]"
16,train,pittsburgh to boston saturday,( _lambda $0 e ( _and ( _from $0 pittsburgh:_ci ) ( _to $0 boston:_ci ) ( _day $0 saturday:_da ) ) ),"[['NULL', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['NULL', '_from'], ['NULL', '$0'], ['pittsburgh', 'pittsburgh:_ci'], ['to', '_to'], ['NULL', '$0'], ['boston', 'boston:_ci'], ['NULL', '_day'], ['NULL', '$0'], ['saturday', 'saturday:_da']]"
17,train,what are the flights from charlotte to atlanta returning on tuesday july thirteenth,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 charlotte:_ci ) ( _to $0 atlanta:_ci ) ( _day_return $0 tuesday:_da ) ( _day_number_return $0 13:_dn ) ( _month_return $0 july:_mn ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['are', 'NULL'], ['NULL', '$0'], ['the', 'NULL'], ['flights', '_flight'], ['from', '_from'], ['charlotte', 'charlotte:_ci'], ['NULL', '$0'], ['to', '_to'], ['atlanta', 'atlanta:_ci'], ['NULL', '$0'], ['returning', '_month_return'], ['on', '_day_return'], ['NULL', '$0'], ['tuesday', 'tuesday:_da'], ['july', 'july:_mn'], ['thirteenth', '13:_dn']]"
18,train,i need the cost of a ticket going from denver to baltimore a first class ticket on united airlines,( _lambda $0 e ( _exists $1 ( _and ( _airline $1 ua:_al ) ( _class_type $1 first:_cl ) ( _from $1 denver:_ci ) ( _to $1 baltimore:_ci ) ( _= ( _fare $1 ) $0 ) ) ) ),"[['i', '_lambda'], ['NULL', '$0'], ['need', 'e'], ['the', 'NULL'], ['NULL', '$1'], ['NULL', '_and'], ['cost', '$1'], ['of', '_exists'], ['a', 'NULL'], ['ticket', '_fare'], ['going', 'NULL'], ['from', '_from'], ['denver', 'denver:_ci'], ['NULL', '$1'], ['to', '_to'], ['baltimore', 'baltimore:_ci'], ['NULL', '$1'], ['a', 'NULL'], ['first', 'first:_cl'], ['class', '_class_type'], ['ticket', '$1'], ['NULL', '$0'], ['on', '_airline'], ['united', 'ua:_al'], ['airlines', 'NULL']]"
19,train,is there a flight between san francisco and boston with a stopover at dallas fort worth,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 san_francisco:_ci ) ( _to $0 boston:_ci ) ( _stop $0 dallas:_ci ) ) ),"[['is', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['there', 'NULL'], ['NULL', '$0'], ['a', 'NULL'], ['flight', '_flight'], ['between', '_from'], ['san', 'san_francisco:_ci'], ['NULL', '$0'], ['francisco', 'NULL'], ['and', '_to'], ['NULL', '$0'], ['boston', 'boston:_ci'], ['with', '_stop'], ['a', 'NULL'], ['stopover', 'NULL'], ['at', 'NULL'], ['dallas', 'dallas:_ci'], ['fort', 'NULL'], ['worth', 'NULL']]"
20,train,list the takeoffs and landings at general mitchell international,( _lambda $0 e ( _and ( _flight $0 ) ( _or ( _from $0 mke:_ap ) ( _to $0 mke:_ap ) ) ) ),"[['list', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['NULL', '_flight'], ['NULL', '$0'], ['NULL', '_or'], ['NULL', '_from'], ['NULL', '$0'], ['the', 'NULL'], ['takeoffs', 'mke:_ap'], ['NULL', '$0'], ['and', '_to'], ['landings', 'mke:_ap'], ['at', 'NULL'], ['general', 'NULL'], ['mitchell', 'NULL'], ['international', 'NULL']]"
21,train,what flights are there from minneapolis to newark on continental,( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 co:_al ) ( _from $0 minneapolis:_ci ) ( _to $0 newark:_ci ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['flights', '_flight'], ['NULL', '$0'], ['are', 'NULL'], ['NULL', '$0'], ['there', 'NULL'], ['from', '_from'], ['NULL', '$0'], ['minneapolis', 'minneapolis:_ci'], ['to', '_to'], ['NULL', '$0'], ['newark', 'newark:_ci'], ['on', '_airline'], ['continental', 'co:_al']]"
22,train,is there limo service at pittsburgh airport,( _lambda $0 e ( _and ( _limousine $0 ) ( _from_airport $0 pit:_ap ) ) ),"[['is', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['there', '_limousine'], ['NULL', '$0'], ['limo', 'NULL'], ['NULL', '$0'], ['service', 'NULL'], ['at', '_from_airport'], ['pittsburgh', 'pit:_ap'], ['airport', 'NULL']]"
23,train,i need a flight from pittsburgh to los angeles thursday evening,( _lambda $0 e ( _and ( _flight $0 ) ( _during_day $0 evening:_pd ) ( _from $0 pittsburgh:_ci ) ( _to $0 los_angeles:_ci ) ( _day $0 thursday:_da ) ) ),"[['i', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['need', 'NULL'], ['NULL', '$0'], ['NULL', '_during_day'], ['NULL', '$0'], ['a', 'NULL'], ['flight', '_flight'], ['NULL', '$0'], ['from', '_from'], ['pittsburgh', 'pittsburgh:_ci'], ['NULL', '$0'], ['to', '_to'], ['NULL', '_day'], ['NULL', '$0'], ['los', 'los_angeles:_ci'], ['angeles', 'NULL'], ['thursday', 'thursday:_da'], ['evening', 'evening:_pd']]"
24,train,how much is a first class ticket from boston to san francisco,( _lambda $0 e ( _exists $1 ( _and ( _class_type $1 first:_cl ) ( _from $1 boston:_ci ) ( _to $1 san_francisco:_ci ) ( _= ( _fare $1 ) $0 ) ) ) ),"[['how', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_exists'], ['much', '_fare'], ['NULL', '_and'], ['is', 'NULL'], ['NULL', '$1'], ['a', 'NULL'], ['first', 'first:_cl'], ['NULL', '$1'], ['class', '_class_type'], ['ticket', '$1'], ['NULL', '$1'], ['from', '_from'], ['NULL', '_='], ['boston', 'boston:_ci'], ['NULL', '$1'], ['NULL', '$0'], ['to', '_to'], ['san', 'san_francisco:_ci'], ['francisco', 'NULL']]"
25,train,in dallas fort worth i would like information on ground transportation,( _lambda $0 e ( _and ( _ground_transport $0 ) ( _to_city $0 dallas:_ci ) ) ),"[['in', '_to_city'], ['NULL', '$0'], ['dallas', 'dallas:_ci'], ['NULL', '_and'], ['fort', 'NULL'], ['NULL', '$0'], ['worth', 'NULL'], ['i', '_lambda'], ['would', 'e'], ['like', 'NULL'], ['information', '_ground_transport'], ['on', 'NULL'], ['ground', 'NULL'], ['transportation', 'NULL']]"
26,train,what flights go from philadelphia to san francisco via dallas,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 philadelphia:_ci ) ( _to $0 san_francisco:_ci ) ( _stop $0 dallas:_ci ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['flights', '_flight'], ['NULL', '$0'], ['go', 'NULL'], ['from', '_from'], ['philadelphia', 'philadelphia:_ci'], ['to', '_to'], ['NULL', '$0'], ['san', 'san_francisco:_ci'], ['francisco', 'NULL'], ['NULL', '$0'], ['via', '_stop'], ['dallas', 'dallas:_ci']]"
27,train,i'd like flights on american airlines from philadelphia philadelphia to dallas arriving before 1145am,( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 aa:_al ) ( _< ( _arrival_time $0 ) 1145:_ti ) ( _from $0 philadelphia:_ci ) ( _to $0 dallas:_ci ) ) ),"[[""i'd"", '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['like', 'NULL'], ['flights', '_flight'], ['on', '_airline'], ['NULL', '$0'], ['american', 'aa:_al'], ['airlines', 'NULL'], ['from', '_from'], ['NULL', '$0'], ['philadelphia', 'philadelphia:_ci'], ['philadelphia', 'NULL'], ['NULL', '$0'], ['to', '_to'], ['dallas', 'dallas:_ci'], ['arriving', '_arrival_time'], ['before', '_<'], ['1145am', '1145:_ti']]"
28,train,what airlines from washington dc to columbus,( _lambda $0 e ( _exists $1 ( _and ( _from $1 washington:_ci ) ( _to $1 columbus:_ci ) ( _= ( _airline:_e $1 ) $0 ) ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_exists'], ['NULL', '$1'], ['NULL', '_and'], ['airlines', '_airline:_e'], ['from', '_from'], ['washington', 'washington:_ci'], ['dc', 'NULL'], ['NULL', '$1'], ['to', '_to'], ['NULL', '_='], ['columbus', 'columbus:_ci'], ['NULL', '$1'], ['NULL', '$0']]"
29,train,what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver,( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 ua:_al ) ( _during_day $0 morning:_pd ) ( _from $0 pittsburgh:_ci ) ( _to $0 san_francisco:_ci ) ( _stop $0 denver:_ci ) ( _day_number $0 20:_dn ) ( _month $0 september:_mn ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['flights', '_flight'], ['NULL', '$0'], ['do', 'NULL'], ['NULL', '$0'], ['you', 'NULL'], ['have', 'NULL'], ['in', '_during_day'], ['the', 'NULL'], ['morning', 'morning:_pd'], ['NULL', '$0'], ['of', '_month'], ['september', 'september:_mn'], ['NULL', '$0'], ['twentieth', '20:_dn'], ['on', '_day_number'], ['united', 'ua:_al'], ['airlines', '_airline'], ['from', '_from'], ['NULL', '$0'], ['pittsburgh', 'pittsburgh:_ci'], ['to', '_to'], ['NULL', '$0'], ['san', 'san_francisco:_ci'], ['francisco', 'NULL'], ['and', 'NULL'], ['a', 'NULL'], ['stopover', '_stop'], ['in', 'NULL'], ['denver', 'denver:_ci']]"
30,train,what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,( _lambda $0 e ( _exists $1 ( _and ( _flight $1 ) ( _round_trip $1 ) ( _from $1 pittsburgh:_ci ) ( _to $1 atlanta:_ci ) ( _day_number $1 25:_dn ) ( _month $1 april:_mn ) ( _= ( _fare $1 ) $0 ) ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['is', 'NULL'], ['NULL', '$1'], ['NULL', '_and'], ['the', 'NULL'], ['NULL', '$1'], ['cost', '_fare'], ['of', '_exists'], ['a', 'NULL'], ['round', '_round_trip'], ['trip', 'NULL'], ['flight', '_flight'], ['NULL', '$1'], ['from', '_from'], ['pittsburgh', 'pittsburgh:_ci'], ['NULL', '$1'], ['to', '_to'], ['NULL', '_month'], ['NULL', '$1'], ['atlanta', 'atlanta:_ci'], ['NULL', '_='], ['beginning', '25:_dn'], ['NULL', '$1'], ['NULL', '$0'], ['on', '_day_number'], ['april', 'april:_mn'], ['twenty', 'NULL'], ['fifth', 'NULL'], ['and', 'NULL'], ['returning', 'NULL'], ['on', 'NULL'], ['may', 'NULL'], ['sixth', 'NULL']]"
31,train,i would like a flight from washington to boston leaving at 230 on august twentieth,( _lambda $0 e ( _and ( _month $0 august:_mn ) ( _departure_time $0 1430:_ti ) ( _to $0 boston:_ci ) ( _from $0 washington:_ci ) ( _flight $0 ) ( _day_number $0 20:_dn ) ) ),"[['i', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['would', '_month'], ['NULL', '$0'], ['like', 'NULL'], ['a', 'NULL'], ['NULL', '$0'], ['flight', '_flight'], ['from', '_from'], ['NULL', '$0'], ['washington', 'washington:_ci'], ['to', '_to'], ['NULL', '$0'], ['boston', 'boston:_ci'], ['leaving', '_departure_time'], ['NULL', '$0'], ['at', '1430:_ti'], ['NULL', '$0'], ['230', 'NULL'], ['on', '_day_number'], ['august', 'august:_mn'], ['twentieth', '20:_dn']]"
32,train,are there any nonstop flights from philadelphia to denver that arrive before 5pm,( _lambda $0 e ( _and ( _flight $0 ) ( _nonstop $0 ) ( _< ( _arrival_time $0 ) 1700:_ti ) ( _from $0 philadelphia:_ci ) ( _to $0 denver:_ci ) ) ),"[['are', 'NULL'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['there', 'NULL'], ['any', '_lambda'], ['nonstop', '_nonstop'], ['NULL', '$0'], ['flights', '_flight'], ['from', '_from'], ['NULL', '$0'], ['philadelphia', 'philadelphia:_ci'], ['to', '_to'], ['NULL', '$0'], ['denver', 'denver:_ci'], ['that', 'NULL'], ['arrive', '_arrival_time'], ['before', '_<'], ['5pm', '1700:_ti']]"
33,train,i need a flight from baltimore to seattle,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 baltimore:_ci ) ( _to $0 seattle:_ci ) ) ),"[['i', '_lambda'], ['NULL', '$0'], ['need', 'e'], ['NULL', '_and'], ['a', 'NULL'], ['flight', '_flight'], ['from', '_from'], ['NULL', '$0'], ['baltimore', 'baltimore:_ci'], ['to', '_to'], ['NULL', '$0'], ['seattle', 'seattle:_ci']]"
34,train,i'd like to fly nonstop from atlanta to baltimore and get there at 7pm,( _lambda $0 e ( _and ( _flight $0 ) ( _nonstop $0 ) ( _arrival_time $0 1900:_ti ) ( _from $0 atlanta:_ci ) ( _to $0 baltimore:_ci ) ) ),"[[""i'd"", '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['like', 'NULL'], ['NULL', '$0'], ['to', 'NULL'], ['fly', '_flight'], ['nonstop', '_nonstop'], ['NULL', '$0'], ['from', '_from'], ['atlanta', 'atlanta:_ci'], ['NULL', '$0'], ['to', '_to'], ['baltimore', 'baltimore:_ci'], ['and', '_arrival_time'], ['get', 'NULL'], ['there', 'NULL'], ['at', '1900:_ti'], ['7pm', 'NULL']]"
35,train,give me sunday nonstop flights from memphis to las vegas,( _lambda $0 e ( _and ( _flight $0 ) ( _nonstop $0 ) ( _from $0 memphis:_ci ) ( _to $0 las_vegas:_ci ) ( _day $0 sunday:_da ) ) ),"[['give', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['me', 'NULL'], ['NULL', '$0'], ['sunday', 'sunday:_da'], ['nonstop', '_nonstop'], ['flights', '_flight'], ['NULL', '$0'], ['from', '_from'], ['memphis', 'memphis:_ci'], ['NULL', '$0'], ['to', '_to'], ['NULL', '_day'], ['NULL', '$0'], ['las', 'las_vegas:_ci'], ['vegas', 'NULL']]"
36,train,what is the type of aircraft for united flight 21,( _lambda $0 e ( _exists $1 ( _and ( _flight $1 ) ( _airline $1 ua:_al ) ( _flight_number $1 21:_fn ) ( _= ( _aircraft_code $1 ) $0 ) ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_exists'], ['NULL', '$1'], ['NULL', '_and'], ['is', '_flight_number'], ['NULL', '$1'], ['NULL', '_airline'], ['NULL', '$1'], ['the', 'NULL'], ['type', '_aircraft_code'], ['NULL', '$1'], ['of', 'NULL'], ['NULL', '_='], ['aircraft', 'NULL'], ['NULL', '$1'], ['NULL', '$0'], ['for', 'NULL'], ['united', 'ua:_al'], ['flight', '_flight'], ['21', '21:_fn']]"
37,train,can you give me information on transportation from the airport in philadelphia to downtown philadelphia,( _lambda $0 e ( _and ( _ground_transport $0 ) ( _from_airport $0 philadelphia:_ci ) ( _to_city $0 philadelphia:_ci ) ) ),"[['can', '_lambda'], ['NULL', '$0'], ['you', 'NULL'], ['give', 'e'], ['me', 'NULL'], ['information', '_ground_transport'], ['on', 'NULL'], ['transportation', 'NULL'], ['from', '_from_airport'], ['the', 'NULL'], ['airport', 'NULL'], ['in', '_to_city'], ['philadelphia', 'philadelphia:_ci'], ['to', 'NULL'], ['downtown', 'NULL'], ['philadelphia', 'philadelphia:_ci']]"
