,split,NL,MR,ALIGNMENT
18,train,what is fare code f,answer(fare_basis_code(f)),"[['what', 'answer'], ['is', 'fare_basis_code(f)'], ['fare', 'NULL'], ['code', 'NULL'], ['f', 'NULL']]"
19,train,what is fare code f,answer(fare_basis_code(f)),"[['what', 'answer'], ['is', 'fare_basis_code(f)'], ['fare', 'NULL'], ['code', 'NULL'], ['f', 'NULL']]"
20,train,what is fare code m,answer(fare_basis_code(m)),"[['what', 'answer'], ['is', 'fare_basis_code(m)'], ['fare', 'NULL'], ['code', 'NULL'], ['m', 'NULL']]"
21,train,what is fare class h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['class', 'NULL'], ['h', 'NULL']]"
22,train,what is the meaning of meal code s,answer(meal_code(s)),"[['what', 'answer'], ['is', 'meal_code(s)'], ['the', 'NULL'], ['meaning', 'NULL'], ['of', 'NULL'], ['meal', 'NULL'], ['code', 'NULL'], ['s', 'NULL']]"
23,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
24,train,what is fare code q,answer(fare_basis_code(q)),"[['what', 'answer'], ['is', 'fare_basis_code(q)'], ['fare', 'NULL'], ['code', 'NULL'], ['q', 'NULL']]"
25,train,what does the fare code y mean,answer(fare_basis_code(y)),"[['what', 'answer'], ['does', 'fare_basis_code(y)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['y', 'NULL'], ['mean', 'NULL']]"
26,train,what does fare code y mean,answer(fare_basis_code(y)),"[['what', 'answer'], ['does', 'fare_basis_code(y)'], ['fare', 'NULL'], ['code', 'NULL'], ['y', 'NULL'], ['mean', 'NULL']]"
27,train,what is the fare code y and what is the fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['y', 'NULL'], ['and', 'NULL'], ['what', 'NULL'], ['is', 'NULL'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
28,train,what is fare code f,answer(fare_basis_code(f)),"[['what', 'answer'], ['is', 'fare_basis_code(f)'], ['fare', 'NULL'], ['code', 'NULL'], ['f', 'NULL']]"
29,train,fare code y what does that mean,answer(fare_basis_code(y)),"[['fare', 'fare_basis_code(y)'], ['code', 'NULL'], ['y', 'NULL'], ['what', 'answer'], ['does', 'NULL'], ['that', 'NULL'], ['mean', 'NULL']]"
30,train,what is sa,answer(days_code(sa)),"[['what', 'answer'], ['is', 'days_code(sa)'], ['sa', 'NULL']]"
31,train,what does fare code qx mean,answer(fare_basis_code(qx)),"[['what', 'answer'], ['does', 'fare_basis_code(qx)'], ['fare', 'NULL'], ['code', 'NULL'], ['qx', 'NULL'], ['mean', 'NULL']]"
32,train,what does s/ designate as a meal,answer(meal_code(s_)),"[['what', 'answer'], ['does', 'meal_code(s_)'], ['s/', 'NULL'], ['designate', 'NULL'], ['as', 'NULL'], ['a', 'NULL'], ['meal', 'NULL']]"
33,train,what does ea mean,answer(airline_code(ea)),"[['what', 'answer'], ['does', 'airline_code(ea)'], ['ea', 'NULL'], ['mean', 'NULL']]"
34,train,what does fare code qo mean,answer(fare_basis_code(qo)),"[['what', 'answer'], ['does', 'fare_basis_code(qo)'], ['fare', 'NULL'], ['code', 'NULL'], ['qo', 'NULL'], ['mean', 'NULL']]"
35,train,what airline uses the code hp,answer(airline_code(hp)),"[['what', 'answer'], ['airline', 'airline_code(hp)'], ['uses', 'NULL'], ['the', 'NULL'], ['code', 'NULL'], ['hp', 'NULL']]"
36,train,airline code as,answer(airline_code(as)),"[['NULL', 'answer'], ['airline', 'airline_code(as)'], ['code', 'NULL'], ['as', 'NULL']]"
37,train,what airline is ac,answer(airline_code(ac)),"[['what', 'answer'], ['airline', 'airline_code(ac)'], ['is', 'NULL'], ['ac', 'NULL']]"
38,train,what does the meal code s/ stand for,answer(meal_code(s_)),"[['what', 'answer'], ['does', 'meal_code(s_)'], ['the', 'NULL'], ['meal', 'NULL'], ['code', 'NULL'], ['s/', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
39,train,explain fare code qx,answer(fare_basis_code(qx)),"[['NULL', 'answer'], ['explain', 'fare_basis_code(qx)'], ['fare', 'NULL'], ['code', 'NULL'], ['qx', 'NULL']]"
40,train,what does fare code qo mean,answer(fare_basis_code(qo)),"[['what', 'answer'], ['does', 'fare_basis_code(qo)'], ['fare', 'NULL'], ['code', 'NULL'], ['qo', 'NULL'], ['mean', 'NULL']]"
41,train,what airline is as,answer(airline_code(as)),"[['what', 'answer'], ['airline', 'airline_code(as)'], ['is', 'NULL'], ['as', 'NULL']]"
42,train,what does fare code qo mean,answer(fare_basis_code(qo)),"[['what', 'answer'], ['does', 'fare_basis_code(qo)'], ['fare', 'NULL'], ['code', 'NULL'], ['qo', 'NULL'], ['mean', 'NULL']]"
43,train,what does the abbreviation co mean,answer(airline_code(co)),"[['what', 'answer'], ['does', 'airline_code(co)'], ['the', 'NULL'], ['abbreviation', 'NULL'], ['co', 'NULL'], ['mean', 'NULL']]"
44,train,what does ua stand for,answer(airline_code(ua)),"[['what', 'answer'], ['does', 'airline_code(ua)'], ['ua', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
45,train,what does co mean,answer(airline_code(co)),"[['what', 'answer'], ['does', 'airline_code(co)'], ['co', 'NULL'], ['mean', 'NULL']]"
46,train,what is ua,answer(airline_code(ua)),"[['what', 'answer'], ['is', 'NULL'], ['ua', 'airline_code(ua)']]"
47,train,what is ff,answer(airline_code(ff)),"[['what', 'answer'], ['is', 'airline_code(ff)'], ['ff', 'NULL']]"
48,train,what is dl,answer(airline_code(dl)),"[['what', 'answer'], ['is', 'NULL'], ['dl', 'airline_code(dl)']]"
49,train,what is hp,answer(airline_code(hp)),"[['what', 'answer'], ['is', 'airline_code(hp)'], ['hp', 'NULL']]"
50,train,what does ea mean,answer(airline_code(ea)),"[['what', 'answer'], ['does', 'airline_code(ea)'], ['ea', 'NULL'], ['mean', 'NULL']]"
51,train,what does the airline code dl stand for,answer(airline_code(dl)),"[['what', 'answer'], ['does', 'airline_code(dl)'], ['the', 'NULL'], ['airline', 'NULL'], ['code', 'NULL'], ['dl', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
52,train,what is ff,answer(airline_code(ff)),"[['what', 'answer'], ['is', 'airline_code(ff)'], ['ff', 'NULL']]"
53,train,could you tell me what the abbreviation us stands for,answer(airline_code(us)),"[['could', 'answer'], ['you', 'NULL'], ['tell', 'airline_code(us)'], ['me', 'NULL'], ['what', 'NULL'], ['the', 'NULL'], ['abbreviation', 'NULL'], ['us', 'NULL'], ['stands', 'NULL'], ['for', 'NULL']]"
54,train,what does ls stand for,answer(meal_code(ls)),"[['what', 'answer'], ['does', 'meal_code(ls)'], ['ls', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
55,train,airline that stands for dl,answer(airline_code(dl)),"[['NULL', 'answer'], ['airline', 'airline_code(dl)'], ['that', 'NULL'], ['stands', 'NULL'], ['for', 'NULL'], ['dl', 'NULL']]"
56,train,what does flight code us mean,answer(airline_code(us)),"[['what', 'answer'], ['does', 'airline_code(us)'], ['flight', 'NULL'], ['code', 'NULL'], ['us', 'NULL'], ['mean', 'NULL']]"
57,train,what is fare code fn,answer(fare_basis_code(fn)),"[['what', 'answer'], ['is', 'NULL'], ['fare', 'fare_basis_code(fn)'], ['code', 'NULL'], ['fn', 'NULL']]"
58,train,define airline hp,answer(airline_code(hp)),"[['NULL', 'answer'], ['define', 'airline_code(hp)'], ['airline', 'NULL'], ['hp', 'NULL']]"
59,train,what airline is ea,answer(airline_code(ea)),"[['what', 'answer'], ['airline', 'airline_code(ea)'], ['is', 'NULL'], ['ea', 'NULL']]"
60,train,what does nw stand for,answer(airline_code(nw)),"[['what', 'answer'], ['does', 'airline_code(nw)'], ['nw', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
61,train,what is hp,answer(airline_code(hp)),"[['what', 'answer'], ['is', 'airline_code(hp)'], ['hp', 'NULL']]"
62,train,what is airline ff,answer(airline_code(ff)),"[['what', 'answer'], ['is', 'airline_code(ff)'], ['airline', 'NULL'], ['ff', 'NULL']]"
63,train,what does fare code qo mean,answer(fare_basis_code(qo)),"[['what', 'answer'], ['does', 'fare_basis_code(qo)'], ['fare', 'NULL'], ['code', 'NULL'], ['qo', 'NULL'], ['mean', 'NULL']]"
64,train,code ff,answer(airline_code(ff)),"[['NULL', 'answer'], ['code', 'airline_code(ff)'], ['ff', 'NULL']]"
65,train,what is fare code qw,answer(fare_basis_code(qw)),"[['what', 'answer'], ['is', 'fare_basis_code(qw)'], ['fare', 'NULL'], ['code', 'NULL'], ['qw', 'NULL']]"
66,train,i'd like to see the fare code again qx,answer(fare_basis_code(qx)),"[[""i'd"", 'answer'], ['like', 'NULL'], ['to', 'NULL'], ['see', 'fare_basis_code(qx)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['again', 'NULL'], ['qx', 'NULL']]"
67,train,what does code yn mean,answer(fare_basis_code(yn)),"[['what', 'answer'], ['does', 'fare_basis_code(yn)'], ['code', 'NULL'], ['yn', 'NULL'], ['mean', 'NULL']]"
68,train,what does us stand for,answer(airline_code(us)),"[['what', 'answer'], ['does', 'airline_code(us)'], ['us', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
69,train,what's fare code yn,answer(fare_basis_code(yn)),"[[""what's"", 'answer'], ['fare', 'fare_basis_code(yn)'], ['code', 'NULL'], ['yn', 'NULL']]"
70,train,what does us mean,answer(airline_code(us)),"[['what', 'answer'], ['does', 'airline_code(us)'], ['us', 'NULL'], ['mean', 'NULL']]"
71,train,what does the abbreviation dl mean,answer(airline_code(dl)),"[['what', 'answer'], ['does', 'airline_code(dl)'], ['the', 'NULL'], ['abbreviation', 'NULL'], ['dl', 'NULL'], ['mean', 'NULL']]"
72,train,what is hp,answer(airline_code(hp)),"[['what', 'answer'], ['is', 'airline_code(hp)'], ['hp', 'NULL']]"
73,train,what does the fare code yn mean,answer(fare_basis_code(yn)),"[['what', 'answer'], ['does', 'fare_basis_code(yn)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['yn', 'NULL'], ['mean', 'NULL']]"
74,train,what is airline dl,answer(airline_code(dl)),"[['what', 'answer'], ['is', 'NULL'], ['airline', 'airline_code(dl)'], ['dl', 'NULL']]"
75,train,what does yn stand for,answer(fare_basis_code(yn)),"[['what', 'answer'], ['does', 'fare_basis_code(yn)'], ['yn', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
76,train,what is sa,answer(days_code(sa)),"[['what', 'answer'], ['is', 'days_code(sa)'], ['sa', 'NULL']]"
77,train,what airline is hp,answer(airline_code(hp)),"[['what', 'answer'], ['airline', 'airline_code(hp)'], ['is', 'NULL'], ['hp', 'NULL']]"
78,train,what is airline nw,answer(airline_code(nw)),"[['what', 'answer'], ['is', 'NULL'], ['airline', 'airline_code(nw)'], ['nw', 'NULL']]"
79,train,what does fare code qo mean,answer(fare_basis_code(qo)),"[['what', 'answer'], ['does', 'fare_basis_code(qo)'], ['fare', 'NULL'], ['code', 'NULL'], ['qo', 'NULL'], ['mean', 'NULL']]"
80,train,what airline stands for hp,answer(airline_code(hp)),"[['what', 'answer'], ['airline', 'airline_code(hp)'], ['stands', 'NULL'], ['for', 'NULL'], ['hp', 'NULL']]"
81,train,what does us mean,answer(airline_code(us)),"[['what', 'answer'], ['does', 'airline_code(us)'], ['us', 'NULL'], ['mean', 'NULL']]"
82,train,what is ua,answer(airline_code(ua)),"[['what', 'answer'], ['is', 'NULL'], ['ua', 'airline_code(ua)']]"
83,train,what does code qw mean,answer(fare_basis_code(qw)),"[['what', 'answer'], ['does', 'fare_basis_code(qw)'], ['code', 'NULL'], ['qw', 'NULL'], ['mean', 'NULL']]"
84,train,what is airline nw,answer(airline_code(nw)),"[['what', 'answer'], ['is', 'NULL'], ['airline', 'airline_code(nw)'], ['nw', 'NULL']]"
85,train,what does fare code qw mean,answer(fare_basis_code(qw)),"[['what', 'answer'], ['does', 'fare_basis_code(qw)'], ['fare', 'NULL'], ['code', 'NULL'], ['qw', 'NULL'], ['mean', 'NULL']]"
86,train,what does the fare code qx mean,answer(fare_basis_code(qx)),"[['what', 'answer'], ['does', 'fare_basis_code(qx)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['qx', 'NULL'], ['mean', 'NULL']]"
87,train,define airline ua,answer(airline_code(ua)),"[['define', 'answer'], ['airline', 'airline_code(ua)'], ['ua', 'NULL']]"
88,train,what is airline us,answer(airline_code(us)),"[['what', 'answer'], ['is', 'NULL'], ['airline', 'airline_code(us)'], ['us', 'NULL']]"
89,train,what does fn under fare code mean,answer(fare_basis_code(fn)),"[['what', 'answer'], ['does', 'fare_basis_code(fn)'], ['fn', 'NULL'], ['under', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['mean', 'NULL']]"
90,train,describe fare code qx,answer(fare_basis_code(qx)),"[['NULL', 'answer'], ['describe', 'fare_basis_code(qx)'], ['fare', 'NULL'], ['code', 'NULL'], ['qx', 'NULL']]"
91,train,what is the yn code,answer(fare_basis_code(yn)),"[['what', 'answer'], ['is', 'NULL'], ['the', 'NULL'], ['yn', 'fare_basis_code(yn)'], ['code', 'NULL']]"
92,train,what does the abbreviation ua mean,answer(airline_code(ua)),"[['what', 'answer'], ['does', 'airline_code(ua)'], ['the', 'NULL'], ['abbreviation', 'NULL'], ['ua', 'NULL'], ['mean', 'NULL']]"
93,train,what is as,answer(airline_code(as)),"[['what', 'answer'], ['is', 'airline_code(as)'], ['as', 'NULL']]"
94,train,what does d/s stand for for meals,answer(meal_code(d_s)),"[['what', 'answer'], ['does', 'meal_code(d_s)'], ['d/s', 'NULL'], ['stand', 'NULL'], ['for', 'NULL'], ['for', 'NULL'], ['meals', 'NULL']]"
95,train,what is ewr,answer(airport_code(ewr)),"[['what', 'answer'], ['is', 'airport_code(ewr)'], ['ewr', 'NULL']]"
96,train,what is bna,answer(airport_code(bna)),"[['what', 'answer'], ['is', 'airport_code(bna)'], ['bna', 'NULL']]"
97,train,does the philadelphia airport have a name,answer(airport_code(phl)),"[['does', 'answer'], ['the', 'NULL'], ['philadelphia', 'airport_code(phl)'], ['airport', 'NULL'], ['have', 'NULL'], ['a', 'NULL'], ['name', 'NULL']]"
98,train,what is ewr,answer(airport_code(ewr)),"[['what', 'answer'], ['is', 'airport_code(ewr)'], ['ewr', 'NULL']]"
99,train,what does ewr mean,answer(airport_code(ewr)),"[['what', 'answer'], ['does', 'airport_code(ewr)'], ['ewr', 'NULL'], ['mean', 'NULL']]"
100,train,what is mco,answer(airport_code(mco)),"[['what', 'answer'], ['is', 'NULL'], ['mco', 'airport_code(mco)']]"
101,train,what is mco,answer(airport_code(mco)),"[['what', 'answer'], ['is', 'NULL'], ['mco', 'airport_code(mco)']]"
102,train,what does mco mean,answer(airport_code(mco)),"[['what', 'answer'], ['does', 'airport_code(mco)'], ['mco', 'NULL'], ['mean', 'NULL']]"
103,train,what does ord mean,answer(airport_code(ord)),"[['what', 'answer'], ['does', 'airport_code(ord)'], ['ord', 'NULL'], ['mean', 'NULL']]"
104,train,what type of plane is an m80,answer(aircraft_code(m80)),"[['what', 'answer'], ['type', 'aircraft_code(m80)'], ['of', 'NULL'], ['plane', 'NULL'], ['is', 'NULL'], ['an', 'NULL'], ['m80', 'NULL']]"
105,train,what does hou mean,answer(airport_code(hou)),"[['what', 'answer'], ['does', 'airport_code(hou)'], ['hou', 'NULL'], ['mean', 'NULL']]"
106,train,what is the abbreviation d10,answer(aircraft_code(d10)),"[['what', 'answer'], ['is', 'aircraft_code(d10)'], ['the', 'NULL'], ['abbreviation', 'NULL'], ['d10', 'NULL']]"
107,train,what is yyz,answer(airport_code(yyz)),"[['what', 'answer'], ['is', 'airport_code(yyz)'], ['yyz', 'NULL']]"
108,train,what is mia,answer(airport_code(mia)),"[['what', 'answer'], ['is', 'airport_code(mia)'], ['mia', 'NULL']]"
109,train,what is the name of the airport at denver,answer(airport_code(den)),"[['what', 'answer'], ['is', 'airport_code(den)'], ['the', 'NULL'], ['name', 'NULL'], ['of', 'NULL'], ['the', 'NULL'], ['airport', 'NULL'], ['at', 'NULL'], ['denver', 'NULL']]"
110,train,what does mco stand for,answer(airport_code(mco)),"[['what', 'answer'], ['does', 'airport_code(mco)'], ['mco', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
111,train,what does ewr mean,answer(airport_code(ewr)),"[['what', 'answer'], ['does', 'airport_code(ewr)'], ['ewr', 'NULL'], ['mean', 'NULL']]"
112,train,what is the name of the airport in philadelphia,answer(airport_code(phl)),"[['what', 'answer'], ['is', 'airport_code(phl)'], ['the', 'NULL'], ['name', 'NULL'], ['of', 'NULL'], ['the', 'NULL'], ['airport', 'NULL'], ['in', 'NULL'], ['philadelphia', 'NULL']]"
113,train,what does lax stand for,answer(airport_code(lax)),"[['what', 'answer'], ['does', 'airport_code(lax)'], ['lax', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
114,train,what is ewr,answer(airport_code(ewr)),"[['what', 'answer'], ['is', 'airport_code(ewr)'], ['ewr', 'NULL']]"
115,train,describe pittsburgh airport,answer(airport_code(pit)),"[['NULL', 'answer'], ['describe', 'airport_code(pit)'], ['pittsburgh', 'NULL'], ['airport', 'NULL']]"
116,train,what is mco,answer(airport_code(mco)),"[['what', 'answer'], ['is', 'NULL'], ['mco', 'airport_code(mco)']]"
117,train,what's the name of the denver airport,answer(airport_code(den)),"[[""what's"", 'answer'], ['the', 'NULL'], ['name', 'airport_code(den)'], ['of', 'NULL'], ['the', 'NULL'], ['denver', 'NULL'], ['airport', 'NULL']]"
118,train,please list information regarding san francisco airport,answer(airport_code(sfo)),"[['please', 'answer'], ['list', 'NULL'], ['information', 'airport_code(sfo)'], ['regarding', 'NULL'], ['san', 'NULL'], ['francisco', 'NULL'], ['airport', 'NULL']]"
119,train,what is ewr,answer(airport_code(ewr)),"[['what', 'answer'], ['is', 'airport_code(ewr)'], ['ewr', 'NULL']]"
120,train,what is ewr,answer(airport_code(ewr)),"[['what', 'answer'], ['is', 'airport_code(ewr)'], ['ewr', 'NULL']]"
121,train,what does mco stand for,answer(airport_code(mco)),"[['what', 'answer'], ['does', 'airport_code(mco)'], ['mco', 'NULL'], ['stand', 'NULL'], ['for', 'NULL']]"
122,train,what does dfw mean,answer(airport_code(dfw)),"[['what', 'answer'], ['does', 'airport_code(dfw)'], ['dfw', 'NULL'], ['mean', 'NULL']]"
123,train,what is bur,answer(airport_code(bur)),"[['what', 'answer'], ['is', 'airport_code(bur)'], ['bur', 'NULL']]"
124,train,explain meal codes sd/d,answer(meal_code(sd_d)),"[['NULL', 'answer'], ['explain', 'meal_code(sd_d)'], ['meal', 'NULL'], ['codes', 'NULL'], ['sd/d', 'NULL']]"
125,train,what is the ap/57 restriction,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['the', 'NULL'], ['ap/57', 'NULL'], ['restriction', 'NULL']]"
126,train,explain restriction ap80,answer(meal_code(ap_80)),"[['NULL', 'answer'], ['explain', 'meal_code(ap_80)'], ['restriction', 'NULL'], ['ap80', 'NULL']]"
127,train,what does ap57 mean,answer(meal_code(ap_57)),"[['what', 'answer'], ['does', 'meal_code(ap_57)'], ['ap57', 'NULL'], ['mean', 'NULL']]"
128,train,what does restriction ap/57 mean,answer(meal_code(ap_57)),"[['what', 'answer'], ['does', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL'], ['mean', 'NULL']]"
129,train,what is restriction ap57,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap57', 'NULL']]"
130,train,what is restriction ap57,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap57', 'NULL']]"
131,train,what does restriction ap/57 mean,answer(meal_code(ap_57)),"[['what', 'answer'], ['does', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL'], ['mean', 'NULL']]"
132,train,what's restriction ap68,answer(meal_code(ap_68)),"[[""what's"", 'answer'], ['restriction', 'meal_code(ap_68)'], ['ap68', 'NULL']]"
133,train,what is restriction ap/80,answer(meal_code(ap_80)),"[['what', 'answer'], ['is', 'meal_code(ap_80)'], ['restriction', 'NULL'], ['ap/80', 'NULL']]"
134,train,what is restriction ap/57,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL']]"
135,train,what does restriction ap/57,answer(meal_code(ap_57)),"[['what', 'answer'], ['does', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL']]"
136,train,what is restriction ap80,answer(meal_code(ap_80)),"[['what', 'answer'], ['is', 'meal_code(ap_80)'], ['restriction', 'NULL'], ['ap80', 'NULL']]"
137,train,what does restriction ap/57 mean,answer(meal_code(ap_57)),"[['what', 'answer'], ['does', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL'], ['mean', 'NULL']]"
138,train,what is the meaning of restriction ap80,answer(meal_code(ap_80)),"[['what', 'answer'], ['is', 'meal_code(ap_80)'], ['the', 'NULL'], ['meaning', 'NULL'], ['of', 'NULL'], ['restriction', 'NULL'], ['ap80', 'NULL']]"
139,train,explain the restriction ap/57,answer(meal_code(ap_57)),"[['NULL', 'answer'], ['explain', 'meal_code(ap_57)'], ['the', 'NULL'], ['restriction', 'NULL'], ['ap/57', 'NULL']]"
140,train,what is restriction ap/55,answer(meal_code(ap_55)),"[['what', 'answer'], ['is', 'meal_code(ap_55)'], ['restriction', 'NULL'], ['ap/55', 'NULL']]"
141,train,what is restriction ap/57,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL']]"
142,train,explain restriction ap/57,answer(meal_code(ap_57)),"[['NULL', 'answer'], ['explain', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL']]"
143,train,what is restriction ap/57,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['restriction', 'NULL'], ['ap/57', 'NULL']]"
144,train,what does restriction ap/80 mean,answer(meal_code(ap_80)),"[['what', 'answer'], ['does', 'meal_code(ap_80)'], ['restriction', 'NULL'], ['ap/80', 'NULL'], ['mean', 'NULL']]"
145,train,what is the ap57 restriction,answer(meal_code(ap_57)),"[['what', 'answer'], ['is', 'meal_code(ap_57)'], ['the', 'NULL'], ['ap57', 'NULL'], ['restriction', 'NULL']]"
146,train,how many passengers fit on a d9s,answer(_capacity(aircraft_code(d9s))),"[['NULL', 'answer'], ['how', '_capacity'], ['many', 'aircraft_code(d9s)'], ['passengers', 'NULL'], ['fit', 'NULL'], ['on', 'NULL'], ['a', 'NULL'], ['d9s', 'NULL']]"
147,train,how many people fit on a 73s,answer(_capacity(aircraft_code(73s))),"[['NULL', 'answer'], ['how', '_capacity'], ['many', 'aircraft_code(73s)'], ['people', 'NULL'], ['fit', 'NULL'], ['on', 'NULL'], ['a', 'NULL'], ['73s', 'NULL']]"
148,train,how many seats in a 100,answer(_capacity(aircraft_code(100))),"[['NULL', 'answer'], ['how', '_capacity'], ['many', 'aircraft_code(100)'], ['seats', 'NULL'], ['in', 'NULL'], ['a', 'NULL'], ['100', 'NULL']]"
149,train,what's the capacity of a 733,answer(_capacity(aircraft_code(733))),"[[""what's"", 'answer'], ['the', 'NULL'], ['capacity', 'aircraft_code(733)'], ['of', '_capacity'], ['a', 'NULL'], ['733', 'NULL']]"
150,train,what is the seating capacity for the f28,answer(_capacity(aircraft_code(f28))),"[['what', 'answer'], ['is', '_capacity'], ['the', 'NULL'], ['seating', 'aircraft_code(f28)'], ['capacity', 'NULL'], ['for', 'NULL'], ['the', 'NULL'], ['f28', 'NULL']]"
